xrij	xberoep	rij	beroep
652	3	Niet	ict support engineer
3564	4	Wel	debiteurenbeheerder
0	1	 	werktuigbouw/contstructie
0	1	 	juridisch medewerker
0	1	 	inbound agent, werkcoach, teamleider,verkoopmedewerker,
0	1	 	personeelsadministratie / planning
0	1	 	junior systeembeheerder, werkplekbeheerder
0	1	 	oracle applicatieontwikkelaar
0	1	 	php ict
0	1	 	verhuizer/chauffeur/magazijn/productie
0	1	 	redacteur, klantvraaganalist, researcher, telefonisch verkoper
0	1	 	middleware project manager / administrator
0	1	 	ict management
0	1	 	salaris- en personeeladministrateur
0	1	 	field service manager
0	1	 	teamleadser helpdesk
0	1	 	technisch magazijn
0	1	 	ict project- en accountmanager
0	1	 	electro monteur
0	1	 	ict & productiemedewerker
0	1	 	commercieel consultant
0	1	 	algemeen medewerker-baggeraar
0	4	 	medewerker beheer ict
0	1	 	senior servicedesk ict medewerker
0	5	 	applicatie beheerder
0	1	 	systeemanalist / programmeur
0	1	 	sales advisor
0	1	 	aix systeembeheerder  unix support
0	4	 	ict support medewerker
0	1	 	sr.accountmanager
0	1	 	production, purchasing & inventory planning
0	3	 	financial controller
0	1	 	manager quality & safety
0	1	 	bioloog, kaasmaker, iter en kunstenaar
0	1	 	medisch bioloog met brede achtergrond
0	1	 	plc scada en dcs programmeur
0	1	 	fotomodestylist
0	1	 	management assistant/pa
0	1	 	register psycholoog arbeid & organisatie
0	1	 	bachelor ict
0	1	 	administratief medewerker, incassomedewerker, secretaresse
0	1	 	personeelsadministratie / boekhouder zzp
0	1	 	secretaresse / management assistente/ financieel medewerkster
0	1	 	functioneel beheerder en financieel administratief medewerker
0	1	 	afgestudeerde bachelor of business adminstration
0	9	 	it
0	1	 	marketing en sales manager
0	1	 	operationeel manager met rol ict adviseur
0	1	 	technisch administatief medewerker
0	1	 	hoofd digitaal toetsbureau
0	1	 	marketing, communicatie, educatie
0	1	 	manegement
0	1	 	infrastructuur engineer
0	1	 	ordervoorbereider, voorman, grafisch
0	1	 	educatief auteur & ontwerper
0	1	 	commercial services representative
0	1	 	systeem ontwerper as400
0	1	 	ict beheerder systeem beheer
0	1	 	syteem/netwerkbeheerder
0	1	 	web based application support
0	1	 	makelaar vastgoed
0	1	 	diversen
0	1	 	product development manager
0	1	 	scw jongerenwerker
0	1	 	skilled allround developer
0	1	 	expeditie medewerker
0	1	 	testanalist
0	1	 	accountmanager, verkoopmedewerker, administratief medewerker
0	1	 	medior .software engineer
0	2	 	calculator
0	1	 	applicatie beheerder, tester, messaging application specialist
0	1	 	geen werk  meao medewerker beheer informatiesystemen
0	1	 	bedrijfsadministratie
0	1	 	ict business consultant  en analist
0	1	 	rl technician/it helpdesk support/magazijn
0	1	 	copywriter
