xdienstverband	xfunctie	dienstverband	functie
0	2	null	mdr .net developer, wordt specialist in een informele sfeer 50k                                                                                                                                         
1	1	detacheren	software engineer oo met creatieve instelling en oog voor detail                                                                                                                                        
250	1	vast	c# webdeveloper voor internetbureau amsterdam                                                                                                                                                           
6	3	uitzenden	medior/senior php developer                                                                                                                                                                             
2	1	parttime	constructeur                                                                                                                                                                                            
0	1	 	java programmeur, bij voorkeur geen pak.                                                                                                                                                                
0	1	 	medior / senior java ontwikkelaar                                                                                                                                                                       
0	1	 	sr. systeembeheerder m/v                                                                                                                                                                                
0	1	 	unix system engineer                                                                                                                                                                                    
0	1	 	medior/ senior c# .net ontwikkelaar gezocht, detachering & project development (rotterdam)                                                                                                              
0	1	 	pre sales consultant  dynamix ax gezocht                                                                                                                                                                
0	1	 	business intelligence / datawarehouse specialist                                                                                                                                                        
0	1	 	automotive diagnose property manager                                                                                                                                                                    
0	1	 	senior .net developer, be sparringpartner of cto! 75k,amsterdam                                                                                                                                         
0	2	 	front end developer                                                                                                                                                                                     
0	1	 	medior/senior ontwikkelaar bij internationaal snel groeiend bedrijf                                                                                                                                     
0	1	 	teamleider it servicedesk                                                                                                                                                                               
0	1	 	medior php software developer                                                                                                                                                                           
0	1	 	medior php'er gezocht met passie voor diepgaande techniek                                                                                                                                               
0	1	 	technisch software implementatie consultant                                                                                                                                                             
0	2	 	software-engineers (hbo/wo)                                                                                                                                                                             
0	1	 	commercieel medewerker sittard                                                                                                                                                                          
0	1	 	bi specialist (landelijk)                                                                                                                                                                               
0	1	 	senior sea marketeer                                                                                                                                                                                    
0	1	 	senior network engineer                                                                                                                                                                                 
0	1	 	senior lead consultant                                                                                                                                                                                  
0	1	 	.net developer met affiniteit voor financiële sector                                                                                                                                                    
0	1	 	field engineer                                                                                                                                                                                          
0	1	 	functioneel applicatiebeheerder financiën                                                                                                                                                               
0	3	 	app ontwikkelaar java en/of objective-c                                                                                                                                                                 
0	2	 	teamcoördinator oracle dba-er                                                                                                                                                                           
0	1	 	delivery manager                                                                                                                                                                                        
0	1	 	application software engineer automatische geleide voertuigen                                                                                                                                           
0	1	 	software tester? technische onderlegd? woonachtig in regio eindhoven?                                                                                                                                   
0	1	 	sap sd.mm support consultant                                                                                                                                                                            
0	1	 	gl accounting manager - emea & apac                                                                                                                                                                     
0	1	 	van java developer tot e-commerce specialist?                                                                                                                                                           
0	1	 	medior+ php developer                                                                                                                                                                                   
0	1	 	sap netweaver / bpm sap consultant                                                                                                                                                                      
0	1	 	business intelligence engineer ( english )                                                                                                                                                              
0	1	 	in hartje rotterdam een c# asp.net developer gezocht                                                                                                                                                    
0	1	 	senior business intelligence consultant                                                                                                                                                                 
0	1	 	backend e-commerce developer - english                                                                                                                                                                  
0	1	 	junior consultant                                                                                                                                                                                       
0	1	 	installatie- en servicemonteur                                                                                                                                                                          
0	2	 	programmeur web applicatie                                                                                                                                                                              
0	4	 	telefonisch adviseur klantbehoud                                                                                                                                                                        
0	1	 	amsterdam startup zoekt junior+/medior php backend developer!                                                                                                                                           
