xrij	xberoep	rij	beroep
1	1	Niet	Medior Linux Engineer (RedHat)
6	1	Niet	Microsoft System Engineer
0	1	 	medior .NET developer
0	1	 	Junior C# .NET developer
0	1	 	Medior beheerder
0	1	 	Medior/Senior .NET Developer
0	1	 	Medior C# developer
0	1	 	Skilled Allround Developer
0	1	 	Senior .NET Developer
0	1	 	WO Java Junior+ code
0	1	 	.NET Architect/ Teamleider
0	1	 	Medior/Senior Systeembeheerder
0	1	 	Junior Software developer
0	1	 	Medior .Net developer
0	4	 	Senior .NET developer
0	1	 	Accountmanager
0	1	 	Senior Netweaver / Abap consultant
0	1	 	Junior/medior Java ontwikkelaar
0	1	 	Senior Systeembeheerder
0	1	 	SAP Manager
0	1	 	.NET developer
0	1	 	Medior Testspecialist
0	1	 	BI consultant
0	2	 	Medior Java Developer
0	1	 	Business Intelligence developer
0	1	 	VB6 programmeur
0	1	 	junior .NET developer
0	1	 	Senior Microsoft beheerder (zeer ervaren)
0	1	 	Medior SAP FI/CO consultant (gecertificeerd)
0	1	 	Starter/Junior Java programmeur
0	1	 	Test Manager
0	1	 	Senior VB.NET developer
0	1	 	Ervaren Backend Developer
0	1	 	Junior+ PHP Developer
0	1	 	Junior (CUM Laude WO) PHP ontwikkelaar
0	1	 	Junior/Starter .NET developer
0	1	 	Microsoft System Administrator
0	3	 	Medior .NET developer
0	1	 	Senior PHP Developer
0	1	 	SAP BI / BW / Netweaver consultant
0	1	 	Citrix en Microsoft beheerder
0	1	 	Medior Tester
0	1	 	Junior C# developer
0	1	 	Junior Tester
0	1	 	(Mobile) Tester
0	1	 	Medior Java SE/EE (8+ jaar) Developer
0	1	 	Android Developer
0	1	 	Senior PL/SQL ontwikkelaar
0	1	 	Secretaresse
0	1	 	Java Developer met super ervaring 
0	1	 	junior C# .NET developer
0	1	 	Lead Java Developer
0	1	 	Ervaren C#/Sharepoint developer
0	1	 	Data en Telecom engineer
0	1	 	Sr Java developer (J2SE)
0	1	 	Medior/Senior Linux Systeembeheerder
0	1	 	junior+ Java Developer
0	1	 	Ervaren PHP Developer (Medior+ niveau code)
0	1	 	Senior Software Engineer .NET
0	1	 	Test Engineer
0	1	 	MS Dynamics AX implementatie consultant (met NAV interesse)
0	1	 	Junior .NET developer
